,Job Profile,Company,ExperienceRequired,AvgSalary,MinSalary,MaxSalary
404,Branch Manager,hsbc-group,7-18,"12,49,959",4.3,26.0
405,Officer,hsbc-group,1-6,"2,75,656",1.2,4.3
406,Sales Executive,hsbc-group,0-7,"2,49,451",1.0,4.4
407,Sales Officer,hsbc-group,0-8,"2,94,512",,
408,Senior Vice President,hsbc-group,10-22,"30,28,264",17.6,43.0
409,Sales Manager,hsbc-group,1-14,"7,05,279",2.3,14.5
410,Direct Sales Representative,startek,0-7,"3,11,558",1.5,5.3
411,Teritory Sales Officer,startek,0-8,"8,43,137",2.4,15.0
412,Sales Executive,startek,0-9,"5,54,037",1.1,14.5
413,Sales Officer,startek,0-7,"5,02,712",1.5,15.0
414,Color Consultant,startek,0-7,"2,86,562",1.0,4.8
415,ECA,startek,0-4,"2,80,663",1.2,4.3
416,Territory Sales Executive,startek,0-8,"8,87,963",2.0,16.0
417,Team Lead,startek,0-10,"4,36,228",2.1,6.3
418,Production Officer,startek,1-9,"6,63,218",3.4,8.0
419,Sales Associate,startek,0-5,"3,29,514",2.0,5.7
420,Deputy Manager,ericsson,3-18,"11,55,443",4.5,16.5
421,Area Business Manager,ericsson,5-16,"8,13,120",4.0,11.0
422,Therapy Manager,ericsson,0-10,"4,67,159",2.0,6.7
423,Territory Manager,ericsson,1-11,"4,64,166",1.5,7.6
424,Medical Representative,ericsson,0-10,"4,21,699",1.1,7.0
425,Regional Business Manager,ericsson,10-19,"13,16,813",7.0,17.0
426,Scientific Business Manager,ericsson,5-14,"7,62,283",4.0,11.0
427,Production Officer,ericsson,0-5,"2,99,554",1.0,6.1
428,Trainee,ericsson,0-2,"1,88,400",,
429,Maintenance Engineer,ericsson,1-6,"2,90,752",1.5,5.0
430,Senior Associate,mphasis,0-11,"4,25,387",1.6,8.0
431,Customer Service Associate,mphasis,0-7,"2,89,281",,
432,Process Associate,mphasis,0-6,"2,99,444",1.0,4.8
433,Customer Service Executive,mphasis,0-6,"3,15,820",1.2,5.4
434,Senior Consultant,mphasis,3-8,"3,95,241",1.0,9.0
435,Team Lead,mphasis,2-12,"5,18,416",1.8,11.8
436,CS Internet Associate,mphasis,0-5,"2,80,963",,
437,Customer Support Executive,mphasis,0-5,"2,93,729",1.0,4.2
438,Technical Support Engineer,mphasis,0-6,"3,63,998",,
439,Associate Technical Consultant,mphasis,0-7,"3,03,730",1.1,4.5
440,Software Engineer,pwc,1-6,"6,20,763",2.5,12.0
441,Senior Associate,pwc,0-8,"4,57,602",1.3,8.2
442,Software Developer,pwc,1-6,"6,61,691",2.4,14.5
443,Software Development Analyst,pwc,2-7,"7,45,796",3.2,11.5
444,Senior Software Engineer,pwc,3-10,"11,84,931",3.0,20.8
445,Software Development Senior Analyst,pwc,3-10,"10,38,194",4.0,15.5
446,Software Development Specialist,pwc,3-11,"13,52,131",6.3,19.5
447,Network Engineer,pwc,2-8,"5,78,740",2.0,13.0
448,Softwaretest Engineer,pwc,1-5,"5,00,774",2.5,9.3
449,Team Lead,pwc,4-11,"8,65,847",3.0,21.0
450,Senior Officer,hdfc-life,0-6,"2,29,502",,
451,Business Development Executive,hdfc-life,0-6,"2,74,759",1.2,4.0
452,Relationship Manager,hdfc-life,0-10,"3,61,687",1.5,6.4
453,Area Head,hdfc-life,3-12,"4,43,839",1.6,10.2
454,Brach Operation Manager,hdfc-life,2-11,"4,13,450",1.8,9.1
455,Collections Executive,hdfc-life,0-6,"2,31,887",1.0,4.0
456,Branch Manager,hdfc-life,6-18,"8,67,303",3.4,18.0
457,Area Collection Manager,hdfc-life,3-10,"3,44,339",1.0,5.6
458,Collection Officer,hdfc-life,0-5,"2,36,752",1.1,3.6
459,Customer Relationship Manager,hdfc-life,0-6,"2,34,035",1.2,4.1
460,Financial Service Consultant,yes-bank,0-6,"2,97,029",1.2,4.3
461,Unit Manager,yes-bank,0-7,"2,83,332",1.0,4.2
462,Associate Financial Service Manager,yes-bank,0-7,"3,14,276",1.8,4.2
463,Sales Manager,yes-bank,0-12,"6,48,289",2.8,10.2
464,Senior Financial Service Manager,yes-bank,1-9,"3,77,062",2.0,5.0
465,Business Trainee,yes-bank,0-2,"4,63,595",,
466,Associate Key Relationship Manager,yes-bank,1-10,"4,86,710",3.3,6.8
467,Key Relationship Manager,yes-bank,0-8,"4,89,389",4.0,6.5
468,Financial Service Manager,yes-bank,0-7,"3,24,208",1.8,4.3
469,Area Manager,yes-bank,3-16,"9,21,208",5.2,12.5
470,Senior Associate,dr.-reddy's,0-10,"3,69,578",,
471,Lead Assistant Manager,dr.-reddy's,1-15,"13,40,226",5.0,26.0
472,Business Analyst,dr.-reddy's,0-7,"8,15,652",3.0,21.0
473,Senior Business Analyst,dr.-reddy's,1-7,"9,90,105",4.5,16.5
474,Process Associate,dr.-reddy's,0-5,"2,78,065",1.0,4.8
475,Senior Consultant,dr.-reddy's,2-11,"22,10,424",9.8,31.0
476,Back Office Executive,dr.-reddy's,0-6,"2,32,853",1.2,3.7
477,Customer Care Executive,dr.-reddy's,1-7,"2,50,870",1.1,5.2
478,SME,dr.-reddy's,4-12,"4,58,869",2.0,6.1
479,Analyst,dr.-reddy's,0-6,"3,89,529",1.0,8.0
480,Associate Consultant,asian-paints,0-8,"9,91,000",2.0,18.6
481,Analyst,asian-paints,0-7,"4,63,695",,
482,Senior Analyst,asian-paints,0-9,"6,97,482",2.5,16.5
483,Senior Consultant,asian-paints,1-12,"18,36,440",4.0,40.0
484,Audit Associate,asian-paints,0-5,"5,46,303",2.0,9.5
485,Senior Associate,asian-paints,0-10,"12,68,591",2.6,26.0
486,Associate Director,asian-paints,7-21,"40,11,769",20.0,58.0
487,Associate2,asian-paints,0-5,"8,90,145",3.6,13.0
488,Team Lead,asian-paints,4-11,"11,09,639",4.5,18.0
489,Audit Executive,asian-paints,0-4,"8,37,282",3.8,11.5
490,Software Engineer,cipla-pharmaceutical,0-6,"5,08,328",1.9,10.9
491,Technical Lead,cipla-pharmaceutical,3-13,"13,92,080",3.9,40.0
492,Lead Engineer,cipla-pharmaceutical,0-11,"8,02,094",2.3,18.4
493,Senior Software Engineer,cipla-pharmaceutical,0-9,"9,09,087",2.2,25.0
494,Senior Analyst,cipla-pharmaceutical,0-9,"4,99,665",1.7,11.5
495,Analyst,cipla-pharmaceutical,0-6,"3,99,179",1.2,11.5
496,Technical Specialist,cipla-pharmaceutical,3-16,"13,69,139",4.4,35.0
497,Senior Technical Lead,cipla-pharmaceutical,6-16,"18,64,227",5.0,34.1
498,Senior Specialist,cipla-pharmaceutical,2-13,"9,31,695",2.5,23.0
499,Associate Consultant,cipla-pharmaceutical,5-19,"16,87,668",1.2,34.0
500,Business Development Executive,sutherland-global-services,0-12,"3,28,214",1.1,5.7
501,Team Lead,sutherland-global-services,2-12,"4,22,391",1.8,7.4
502,Operations Executive,sutherland-global-services,1-6,"2,90,467",1.0,5.0
503,MIS Executive,sutherland-global-services,0-6,"3,47,071",1.5,5.5
504,Sales Executive,sutherland-global-services,1-8,"3,18,530",1.2,5.0
505,Business Development Manager,sutherland-global-services,4-10,"4,62,936",1.9,8.2
506,Sales Officer,sutherland-global-services,3-12,"4,42,825",1.7,6.6
507,Shift Incharge,sutherland-global-services,2-9,"4,08,460",2.4,6.2
508,Collections Executive,sutherland-global-services,1-9,"2,69,611",1.2,4.1
509,HUB Manager,sutherland-global-services,3-15,"5,36,806",2.0,12.2
510,Senior Engineer,ntt-data,4-16,"8,75,315",4.9,13.3
511,Sales Executive,ntt-data,0-9,"3,49,081",1.5,5.5
512,Assistant Officer,ntt-data,0-15,"5,97,913",3.0,9.0
513,Officer,ntt-data,1-17,"7,42,451",2.7,11.6
514,Senior Officer,ntt-data,2-14,"8,39,327",5.0,12.1
515,Territory Sales Executive,ntt-data,1-12,"6,56,150",3.0,10.5
516,Channel Relationship Manager,ntt-data,2-15,"8,49,523",5.0,12.0
517,Assistant Engineer,ntt-data,3-12,"5,80,407",2.2,8.8
518,Junior Officer,ntt-data,1-15,"5,33,251",2.1,8.7
519,Technical Executive,ntt-data,0-6,"3,75,356",1.2,6.0
520,Officer,jana-small-finance-bank,1-11,"4,87,694",1.5,8.4
521,Research Associate,jana-small-finance-bank,1-9,"5,26,610",2.9,8.7
522,Marketing Executive,jana-small-finance-bank,0-10,"4,43,621",2.2,7.0
523,Production Officer,jana-small-finance-bank,1-9,"4,20,811",1.9,7.6
524,Senior Officer,jana-small-finance-bank,1-8,"4,09,774",1.9,6.0
525,Junior Officer,jana-small-finance-bank,1-9,"4,02,788",2.0,7.1
526,Executive Production,jana-small-finance-bank,4-16,"6,99,078",2.9,11.5
527,Medical Representative,jana-small-finance-bank,0-10,"4,27,033",1.6,7.0
528,Area Sales Manager,jana-small-finance-bank,6-15,"7,27,297",4.0,10.5
529,Associate Scientist,jana-small-finance-bank,6-14,"9,61,140",5.5,13.0
530,Deputy Manager,icici-prudential-life-insurance,0-11,"4,97,039",1.9,7.4
531,Relationship Officer,icici-prudential-life-insurance,0-8,"2,65,171",,
532,Assistant Branch Head,icici-prudential-life-insurance,4-15,"7,60,482",3.2,12.8
533,Branch Head,icici-prudential-life-insurance,8-20,"12,49,040",4.0,20.3
534,Branch Manager,icici-prudential-life-insurance,5-18,"9,60,643",,
535,Customer Relation Officer,icici-prudential-life-insurance,0-7,"3,80,395",1.6,5.7
536,Senior Officer,icici-prudential-life-insurance,0-7,"2,22,554",1.0,3.5
537,Branch Sales Executive,icici-prudential-life-insurance,0-5,"2,14,376",1.1,3.5
538,Branch Sales Manager,icici-prudential-life-insurance,5-14,"7,07,991",3.0,11.0
539,Customer Relationship Officer,icici-prudential-life-insurance,0-8,"4,11,469",1.4,6.0
540,Team Lead,exl-service,0-13,"5,91,829",1.5,10.3
541,Sales Executive,exl-service,0-10,"2,96,150",,
542,Field Sales Executive,exl-service,0-9,"2,61,465",,
543,Software Engineer,exl-service,0-4,"13,94,845",2.2,36.0
544,Senior Associate,exl-service,0-9,"4,90,009",1.8,9.0
545,Senior Software Engineer,exl-service,2-7,"21,40,289",1.0,38.0
546,Key Account Manager,exl-service,0-10,"6,62,890",2.0,18.0
547,Junior Manager,exl-service,2-12,"7,72,632",4.0,13.0
548,Area Sales Manager,exl-service,5-15,"11,43,091",3.1,18.0
549,FSE,exl-service,0-6,"2,68,373",1.0,6.0
550,Sales Executive,kpmg,0-8,"2,57,773",,
551,Sales Officer,kpmg,0-9,"2,56,624",,
552,Sales Manager,kpmg,0-10,"4,97,046",1.3,9.0
553,Collections Manager,kpmg,0-10,"4,32,272",,
554,Area Sales Manager,kpmg,4-12,"8,90,157",2.1,15.0
555,Assistant Sales Manager,kpmg,0-7,"3,83,763",1.5,5.5
556,Credit Manager,kpmg,1-9,"5,24,402",2.0,8.0
557,Finance Executive,kpmg,0-7,"2,35,796",,
558,Collections Executive,kpmg,0-6,"2,01,007",,
559,Assistant Manager Collections,kpmg,1-8,"3,98,052",1.6,6.2
560,Area Executive,hcl-group,0-13,"8,95,678",3.4,14.5
561,Sales Officer,hcl-group,0-7,"4,83,601",2.0,8.5
562,Area Sales Executive,hcl-group,0-11,"8,58,543",3.5,13.4
563,Finance Executive,hcl-group,2-15,"7,79,941",2.0,14.5
564,Manufacturing Executive,hcl-group,0-10,"6,83,440",3.2,11.0
565,Sales Executive,hcl-group,0-8,"2,85,530",1.0,9.1
566,Area Manager,hcl-group,1-15,"14,39,530",8.0,20.0
567,Operator,hcl-group,0-7,"2,23,080",1.0,5.0
568,Area Sales Manager,hcl-group,0-16,"15,19,790",4.7,20.0
569,Machine Operator,hcl-group,0-6,"1,80,913",,
570,Executive Army,udaan,16-26,"5,71,520",,
571,Colonel,udaan,23-33,"31,91,084",1.0,94.0
572,Army,udaan,15-26,"5,76,190",,
573,Junior Commisioned Officer,udaan,20-31,"7,15,852",,
574,Army Officer,udaan,10-31,"21,95,807",,
575,Havaldar,udaan,15-24,"6,14,668",,
576,Executive Havildar,udaan,15-19,"5,26,036",,
577,Major,udaan,9-15,"22,71,792",1.0,40.0
578,Defence,udaan,10-28,"6,83,627",,
579,Indian Army Soldier,udaan,6-30,"6,36,097",,
580,Deputy Manager,ultratech-cement,1-12,"5,37,687",2.6,8.2
581,Sales Officer,ultratech-cement,0-7,"2,41,639",1.1,4.6
582,Relationship Officer,ultratech-cement,0-8,"3,62,189",,
583,Banking Officer,ultratech-cement,0-6,"3,30,791",1.5,5.3
584,Credit Manager,ultratech-cement,0-10,"5,42,165",1.8,10.0
585,Relationship Manager,ultratech-cement,0-10,"5,55,460",,
586,Branch Manager,ultratech-cement,5-17,"10,37,846",2.9,25.5
587,Business Manager,ultratech-cement,4-12,"4,86,459",2.3,8.6
588,Senior Sales Officer,ultratech-cement,1-8,"3,01,456",1.5,4.5
589,Sales Executive,ultratech-cement,0-7,"2,50,821",,
590,Senior Software Engineer,lupin,1-7,"8,75,880",3.3,20.5
591,Module Lead,lupin,3-10,"14,22,041",4.5,24.6
592,Software Engineer,lupin,0-6,"5,52,056",2.5,10.1
593,Technical Lead,lupin,5-14,"19,06,450",6.3,34.0
594,Senior Engineer,lupin,2-8,"7,58,695",3.1,13.4
595,Senior Test Engineer,lupin,2-7,"7,89,912",3.0,13.5
596,Specialist Testing,lupin,4-11,"11,69,676",5.0,17.5
597,Technical Specialist,lupin,3-11,"12,06,196",4.5,26.0
598,Softwaretest Engineer,lupin,1-5,"4,85,886",2.4,8.0
599,Software Developer,lupin,0-5,"5,20,457",1.9,9.5
600,Team Lead,bandhan-bank,1-14,"9,75,800",3.6,17.0
601,Analyst,bandhan-bank,0-10,"11,87,273",2.5,32.0
602,Operations Analyst,bandhan-bank,0-9,"6,26,112",2.4,10.5
603,Associate Vice President,bandhan-bank,6-18,"28,07,648",11.7,42.5
604,Software Engineer,bandhan-bank,0-12,"19,96,247",3.5,34.0
605,Senior Associate,bandhan-bank,6-18,"28,22,485",4.0,46.0
606,Assistant Vice President,bandhan-bank,6-19,"27,41,789",11.6,42.0
607,Senior Analyst,bandhan-bank,2-10,"10,15,151",1.0,26.0
608,Senior Team Member,bandhan-bank,1-9,"6,17,632",2.3,10.1
609,Financial Analyst,bandhan-bank,0-8,"11,46,201",1.8,20.2
610,Teritory Sales Officer,paytm,0-15,"9,02,730",5.0,12.0
611,Sales Executive,paytm,0-14,"4,12,696",,
612,Marketing Executive,paytm,0-15,"2,65,075",,
613,Sales Officer,paytm,0-12,"4,72,085",1.0,12.0
614,Key Accounts Executive,paytm,1-16,"11,69,631",7.5,15.3
615,Team Lead,paytm,1-10,"3,25,600",1.1,5.5
616,Area Sales Manager,paytm,5-21,"14,40,968",,
617,Rural Sales Promoter,paytm,1-7,"2,22,645",1.2,4.0
618,Executive Production,paytm,1-10,"9,66,551",6.4,12.0
619,Area Sales Executive,paytm,5-14,"11,43,379",2.3,16.5
620,Senior Software Engineer,bajaj-finance,3-12,"14,80,806",4.8,27.0
621,Software Engineer,bajaj-finance,1-8,"8,89,832",3.0,18.5
622,Team Member,bajaj-finance,0-7,"3,33,431",1.0,5.5
623,Lead Engineer,bajaj-finance,3-10,"13,39,335",6.0,20.0
624,Senior Business Analyst,bajaj-finance,5-15,"17,75,826",4.6,30.0
625,Senior Leader Engineer,bajaj-finance,6-13,"19,95,075",8.0,28.8
626,Business Analyst,bajaj-finance,1-12,"11,78,355",3.3,25.5
627,Senior Analyst,bajaj-finance,2-10,"7,67,262",3.0,18.0
628,Technical Lead,bajaj-finance,9-14,"18,60,543",9.6,26.2
629,Softwaretest Engineer,bajaj-finance,1-6,"6,56,448",2.8,14.0
630,Sales Officer,l&t-infotech,1-6,"2,85,780",1.6,4.2
631,Branch Manager,l&t-infotech,6-16,"8,72,152",3.3,15.0
632,Customer Relation Officer,l&t-infotech,0-6,"2,16,159",,
633,Loan Officer,l&t-infotech,0-9,"3,01,821",1.6,4.5
634,Credit Officer,l&t-infotech,1-10,"3,97,159",1.8,6.0
635,Relationship Officer,l&t-infotech,1-9,"3,16,754",1.7,4.2
636,Collection Officer,l&t-infotech,0-8,"2,85,067",,
637,Customer Relationship Officer,l&t-infotech,0-6,"2,28,630",1.2,3.8
638,Cluster Manager,l&t-infotech,5-15,"7,74,511",3.3,10.6
639,Cashier,l&t-infotech,0-8,"3,30,470",1.5,4.5
640,Team Lead,itc,0-10,"3,34,190",1.0,5.2
641,Team Lead Operations,itc,1-9,"3,47,114",1.8,5.0
642,Operations Executive,itc,0-10,"2,98,066",1.2,4.1
643,Senior Associate,itc,1-10,"6,49,071",2.9,11.0
644,Assistant Team Leader,itc,0-6,"2,59,223",1.5,3.5
645,Station Manager,itc,1-10,"4,92,456",2.5,8.0
646,Processing Executive,itc,0-6,"2,61,526",1.9,3.4
647,Field Executive,itc,0-7,"2,04,511",,
648,Delivery Boy,itc,0-4,"1,61,611",,
649,Operations Manager,itc,1-10,"6,26,311",2.5,10.0
650,Financial Analyst,indian-army,0-8,"4,81,283",2.0,9.2
651,Senior Software Engineer,indian-army,5-14,"26,34,985",7.0,44.3
652,Senior Financial Analyst,indian-army,2-11,"6,40,920",3.3,10.0
653,Software Engineer,indian-army,2-12,"17,32,695",3.8,37.0
654,Associate Financial Analyst,indian-army,0-4,"3,32,446",1.8,4.5
655,Technology Specialist,indian-army,4-11,"11,72,174",6.5,19.2
656,Assistant Vice President,indian-army,7-17,"31,48,853",13.7,48.0
657,Senior Analyst,indian-army,3-9,"8,36,696",3.6,18.0
658,Senior QA Analyst,indian-army,2-9,"8,52,089",6.1,15.5
659,Business System Consultant,indian-army,7-12,"16,86,801",6.0,33.0
660,Relationship Officer,au-small-finance-bank,0-7,"2,35,021",,
661,Sales Executive,au-small-finance-bank,0-8,"2,36,426",,
662,Team Lead,au-small-finance-bank,0-11,"4,07,915",1.5,9.5
663,Associate Engineer,au-small-finance-bank,0-8,"2,72,862",1.3,5.0
664,Relationship Executive,au-small-finance-bank,0-6,"2,33,399",,
665,Sales Officer,au-small-finance-bank,0-6,"2,42,338",1.0,4.5
666,MIS Executive,au-small-finance-bank,0-9,"2,88,334",1.3,4.5
667,Information Technology Recruiter,au-small-finance-bank,0-4,"3,17,993",1.5,4.8
668,Recruitment Consultant,au-small-finance-bank,0-4,"3,24,407",1.9,5.0
669,Network Engineer,au-small-finance-bank,0-6,"3,44,809",1.1,7.0
670,Sales Executive,mindtree,0-7,"2,37,383",,
671,Sales Associate,mindtree,0-6,"2,10,985",,
672,District Sales Manager,mindtree,3-9,"3,22,981",1.3,5.5
673,Operator,mindtree,1-5,"2,05,836",,
674,Senior Sales Associate,mindtree,0-6,"2,03,583",,
675,Collections Executive,mindtree,1-7,"2,35,388",,
676,Team Lead,mindtree,3-11,"3,91,613",2.4,6.1
677,Senior Sales Executive,mindtree,1-6,"2,39,884",1.1,4.3
678,Senior Associate,mindtree,0-8,"2,40,073",1.1,5.2
679,Senior Operator,mindtree,1-6,"2,33,968",,
680,Junior Engineer,jp-morgan-chase,1-11,"5,91,224",,
681,Associate Engineer,jp-morgan-chase,0-10,"5,33,434",3.6,7.3
682,Mechanical Engineer,jp-morgan-chase,0-12,"4,54,766",1.4,13.0
683,Lead Engineer,jp-morgan-chase,5-15,"7,35,255",4.1,11.0
684,Supervisor,jp-morgan-chase,0-8,"2,85,955",,
685,Safety Officer,jp-morgan-chase,1-7,"3,63,594",,
686,Electrical Engineer,jp-morgan-chase,0-11,"5,17,051",,
687,Sales Manager,jp-morgan-chase,0-10,"16,63,392",6.0,26.0
688,Mechanical Supervisor,jp-morgan-chase,1-6,"2,69,716",,
689,Project Manager,jp-morgan-chase,4-15,"14,15,129",7.1,23.0
690,Senior Officer,hindustan-unilever,0-10,"4,79,122",2.2,7.7
691,Officer,hindustan-unilever,0-7,"3,50,363",1.4,6.0
692,Sales Executive,hindustan-unilever,0-10,"5,93,179",1.5,9.5
693,Medical Representative,hindustan-unilever,0-9,"5,43,559",1.8,9.6
694,Production Officer,hindustan-unilever,1-5,"3,15,583",1.5,5.0
695,Area Sales Manager,hindustan-unilever,5-16,"9,60,192",4.5,13.3
696,Technician,hindustan-unilever,1-9,"3,13,655",1.1,5.1
697,Sales Officer,hindustan-unilever,0-7,"3,58,782",1.8,5.9
698,Junior Officer,hindustan-unilever,1-4,"2,48,210",1.5,3.5
699,Research Manager,hindustan-unilever,8-17,"14,95,850",6.9,22.0
700,Senior Software Engineer,fis,3-9,"11,58,195",3.0,26.0
701,System Analyst,fis,5-13,"15,52,644",4.4,27.0
702,Software Engineer,fis,0-6,"6,09,366",2.0,12.0
703,Technical Architect,fis,8-16,"21,27,292",7.0,40.0
704,Associate Software Engineer,fis,0-4,"4,40,894",2.0,7.0
705,Softwaretest Engineer,fis,1-4,"4,47,022",2.1,8.5
706,Senior Analyst,fis,2-11,"5,13,210",2.6,8.6
707,Analyst,fis,0-7,"3,85,114",1.8,6.2
708,Team Lead,fis,2-15,"7,55,560",2.5,22.0
709,Senior Technical Analyst,fis,3-9,"9,41,363",3.8,18.0
710,Sales Executive,ujjivan-small-finance-bank,0-12,"2,98,957",,
711,Team Lead,ujjivan-small-finance-bank,0-12,"3,48,655",1.2,7.2
712,Area Sales Manager,ujjivan-small-finance-bank,5-15,"6,89,986",2.0,12.0
713,Assistant Engineer,ujjivan-small-finance-bank,2-6,"3,19,189",1.8,4.8
714,Sales Promoter,ujjivan-small-finance-bank,0-6,"1,96,947",,
715,Production Engineer,ujjivan-small-finance-bank,2-7,"3,87,857",1.8,6.4
716,Territory Sales Manager,ujjivan-small-finance-bank,4-12,"4,49,633",2.1,9.0
717,Process Engineer,ujjivan-small-finance-bank,1-7,"3,64,998",1.7,5.1
718,Trainer,ujjivan-small-finance-bank,1-9,"3,39,525",1.8,5.4
719,Quality Engineer,ujjivan-small-finance-bank,2-6,"3,21,502",2.0,4.5
720,Junior Engineer,delhivery,0-9,"3,86,685",1.6,6.0
721,Deputy Manager,delhivery,3-17,"10,27,557",5.6,21.2
722,Junior Manager,delhivery,2-8,"6,57,439",3.8,11.0
723,Senior Engineer,delhivery,3-17,"6,50,707",2.7,9.5
724,Assistant Engineer,delhivery,3-12,"5,10,146",2.6,7.1
725,Junior Executive,delhivery,1-5,"3,93,994",2.7,5.8
726,Safety Officer,delhivery,0-9,"4,10,388",,
727,Assistant General Manager,delhivery,0-2,"7,01,417",,
728,Mechanical Engineer,delhivery,14-23,"26,14,128",14.0,48.0
729,Deputy Manager,delhivery,1-11,"4,59,495",1.4,9.6
730,Senior Officer,wells-fargo,2-18,"11,91,349",4.5,19.5
731,Design Engineer,wells-fargo,2-8,"5,58,511",2.8,9.2
732,Quality Inspector,wells-fargo,0-6,"3,98,269",1.2,6.7
733,Quality Engineer,wells-fargo,0-5,"2,18,108",,
734,Service Engineer,wells-fargo,0-6,"2,34,386",,
735,Diploma Trainee Engineer,wells-fargo,1-8,"3,49,700",,
736,Senior Operator,wells-fargo,0-5,"2,46,579",,
737,Graduate Apprentice Trainee,wells-fargo,2-5,"2,30,764",1.2,3.2
738,Production Engineer,wells-fargo,0-2,"2,39,519",1.6,3.0
739,Relationship Executive,wells-fargo,0-6,"2,45,148",1.1,4.5
740,Senior Relationship Executive,iifl-finance,0-6,"2,55,923",1.0,3.9
741,Executive Assistant,iifl-finance,3-9,"3,27,615",1.8,4.6
742,Branch Manager,iifl-finance,0-7,"2,20,595",1.0,3.3
743,Junior Executive,iifl-finance,5-12,"4,94,322",2.4,8.0
744,Branch Team Leader,iifl-finance,0-3,"1,88,532",,
745,Branch Collection Manager,iifl-finance,0-7,"2,81,355",,
746,Customer Service Executive,iifl-finance,3-11,"4,05,949",2.4,5.8
747,Retainer Advocate,iifl-finance,0-5,"2,12,794",,
748,Assistant Relationship Manager,iifl-finance,0-6,"2,83,187",1.8,4.5
749,Technical Assistant,iifl-finance,0-5,"3,41,219",1.5,5.0
750,Deputy Manager,amazon-development-centre-india,1-8,"3,55,063",1.4,5.7
751,Senior Technical Assistant,amazon-development-centre-india,6-18,"11,30,004",6.8,16.6
752,Research Associate,amazon-development-centre-india,5-11,"5,57,267",3.0,7.8
753,Research Associate IV,amazon-development-centre-india,1-8,"4,85,480",1.5,8.2
754,Executive Production,amazon-development-centre-india,3-8,"5,65,788",3.4,8.7
755,QC Executive,amazon-development-centre-india,4-12,"6,20,793",3.1,8.9
756,Executive Assistant,amazon-development-centre-india,2-9,"4,84,750",2.4,8.0
757,Senior Chemist,amazon-development-centre-india,2-9,"4,33,563",1.8,6.8
758,QA Executive,amazon-development-centre-india,5-11,"5,00,432",2.9,6.0
759,Agency Development Manager,amazon-development-centre-india,4-9,"5,56,205",3.1,8.0
760,Relationship Associate,quess,0-12,"4,15,139",1.7,6.5
761,Associate Sales Manager,quess,0-7,"2,63,260",1.5,3.8
762,Associate Agency Development Manager,quess,0-8,"3,50,248",1.9,4.8
